ID,x,y,Class_ID,Class,Description
1,677775,4764065,1,Class_2,Building
2,677785,4764065,1,Class_2,Building
3,677795,4764065,0,Class_1,Parking/road/pavement
4,677805,4764065,1,Class_2,Building
5,677815,4764065,0,Class_1,Parking/road/pavement
6,677825,4764065,1,Class_2,Building
7,677835,4764065,1,Class_2,Building
8,677845,4764065,2,Class_3,Tree/bushes
9,677855,4764065,0,Class_1,Parking/road/pavement
10,677865,4764065,0,Class_1,Parking/road/pavement
11,677875,4764065,2,Class_3,Tree/bushes
12,677885,4764065,2,Class_3,Tree/bushes
13,677895,4764065,2,Class_3,Tree/bushes
14,677905,4764065,2,Class_3,Tree/bushes
15,677915,4764065,2,Class_3,Tree/bushes
16,677925,4764065,2,Class_3,Tree/bushes
17,677935,4764065,2,Class_3,Tree/bushes
18,677945,4764065,2,Class_3,Tree/bushes
19,677955,4764065,2,Class_3,Tree/bushes
20,677965,4764065,2,Class_3,Tree/bushes
21,677975,4764065,0,Class_1,Parking/road/pavement
22,677985,4764065,1,Class_2,Building
23,677995,4764065,1,Class_2,Building
24,678005,4764065,1,Class_2,Building
25,678015,4764065,0,Class_1,Parking/road/pavement
26,678025,4764065,1,Class_2,Building
27,678035,4764065,1,Class_2,Building
28,678045,4764065,1,Class_2,Building
29,678055,4764065,0,Class_1,Parking/road/pavement
30,678065,4764065,0,Class_1,Parking/road/pavement
31,678075,4764065,0,Class_1,Parking/road/pavement
32,678085,4764065,0,Class_1,Parking/road/pavement
33,678095,4764065,0,Class_1,Parking/road/pavement
34,678105,4764065,0,Class_1,Parking/road/pavement
35,678115,4764065,3,Class_4,Grass
36,678125,4764065,3,Class_4,Grass
37,678135,4764065,0,Class_1,Parking/road/pavement
38,678145,4764065,0,Class_1,Parking/road/pavement
39,678155,4764065,3,Class_4,Grass
40,678165,4764065,1,Class_2,Building
41,678175,4764065,2,Class_3,Tree/bushes
42,678185,4764065,1,Class_2,Building
43,678195,4764065,1,Class_2,Building
44,678205,4764065,3,Class_4,Grass
45,678215,4764065,1,Class_2,Building
46,678225,4764065,0,Class_1,Parking/road/pavement
47,678235,4764065,0,Class_1,Parking/road/pavement
48,678245,4764065,1,Class_2,Building
49,678255,4764065,0,Class_1,Parking/road/pavement
50,678265,4764065,0,Class_1,Parking/road/pavement
51,678275,4764065,3,Class_4,Grass
52,678285,4764065,1,Class_2,Building
53,678295,4764065,0,Class_1,Parking/road/pavement
54,678305,4764065,1,Class_2,Building
55,678315,4764065,3,Class_4,Grass
56,678325,4764065,3,Class_4,Grass
57,678335,4764065,3,Class_4,Grass
58,678345,4764065,1,Class_2,Building
59,678355,4764065,1,Class_2,Building
60,678365,4764065,1,Class_2,Building
61,678375,4764065,1,Class_2,Building
62,678385,4764065,1,Class_2,Building
63,678395,4764065,0,Class_1,Parking/road/pavement
64,678405,4764065,1,Class_2,Building
65,678415,4764065,1,Class_2,Building
66,678425,4764065,1,Class_2,Building
67,678435,4764065,0,Class_1,Parking/road/pavement
68,678445,4764065,3,Class_4,Grass
69,678455,4764065,3,Class_4,Grass
70,678465,4764065,2,Class_3,Tree/bushes
71,678475,4764065,1,Class_2,Building
72,678485,4764065,3,Class_4,Grass
73,678495,4764065,3,Class_4,Grass
74,678505,4764065,0,Class_1,Parking/road/pavement
75,678515,4764065,3,Class_4,Grass
76,678525,4764065,1,Class_2,Building
77,678535,4764065,1,Class_2,Building
78,678545,4764065,2,Class_3,Tree/bushes
79,678555,4764065,1,Class_2,Building
80,678565,4764065,2,Class_3,Tree/bushes
81,678575,4764065,2,Class_3,Tree/bushes
82,678585,4764065,3,Class_4,Grass
83,678595,4764065,1,Class_2,Building
84,678605,4764065,0,Class_1,Parking/road/pavement
85,678615,4764065,1,Class_2,Building
86,678625,4764065,1,Class_2,Building
87,678635,4764065,1,Class_2,Building
88,678645,4764065,2,Class_3,Tree/bushes
89,678655,4764065,2,Class_3,Tree/bushes
90,678665,4764065,1,Class_2,Building
91,678675,4764065,1,Class_2,Building
92,678685,4764065,2,Class_3,Tree/bushes
93,678695,4764065,1,Class_2,Building
94,678705,4764065,1,Class_2,Building
95,678715,4764065,1,Class_2,Building
96,678725,4764065,1,Class_2,Building
97,678735,4764065,2,Class_3,Tree/bushes
98,678745,4764065,2,Class_3,Tree/bushes
99,678755,4764065,3,Class_4,Grass
100,678765,4764065,3,Class_4,Grass
101,678775,4764065,3,Class_4,Grass
102,678785,4764065,1,Class_2,Building
103,678795,4764065,0,Class_1,Parking/road/pavement
104,678805,4764065,2,Class_3,Tree/bushes
105,678815,4764065,2,Class_3,Tree/bushes
106,678825,4764065,4,Class_5,Water
107,678835,4764065,2,Class_3,Tree/bushes
108,678845,4764065,2,Class_3,Tree/bushes
109,678855,4764065,4,Class_5,Water
110,678865,4764065,4,Class_5,Water
111,678875,4764065,4,Class_5,Water
112,678885,4764065,4,Class_5,Water
113,678895,4764065,4,Class_5,Water
114,678905,4764065,4,Class_5,Water
115,678915,4764065,4,Class_5,Water
116,678925,4764065,3,Class_4,Grass
117,678935,4764065,3,Class_4,Grass
118,678945,4764065,3,Class_4,Grass
119,678955,4764065,3,Class_4,Grass
120,678965,4764065,3,Class_4,Grass
121,678975,4764065,1,Class_2,Building
122,678985,4764065,1,Class_2,Building
123,678995,4764065,1,Class_2,Building
124,679005,4764065,0,Class_1,Parking/road/pavement
125,679015,4764065,1,Class_2,Building
126,679025,4764065,3,Class_4,Grass
127,679035,4764065,3,Class_4,Grass
128,679045,4764065,0,Class_1,Parking/road/pavement
129,679055,4764065,0,Class_1,Parking/road/pavement
130,679065,4764065,0,Class_1,Parking/road/pavement
131,679075,4764065,1,Class_2,Building
132,679085,4764065,1,Class_2,Building
133,679095,4764065,1,Class_2,Building
134,679105,4764065,1,Class_2,Building
135,679115,4764065,1,Class_2,Building
